"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36654","find element","chromium","2026-03-20","broken","2026-03-20","","Locator.spec.js","",""
"","4445","homepage","chromium","2026-03-20","passed","2026-03-20","","Homepage.spec.js","",""
